id,owner,device,timestamp,cellinfo.wgs84.lon,cellinfo.wgs84.lat,cellinfo.azimuth_degrees,cell
0,AgentM,M_1,2023-05-01 00:00:23,4.3381867139841965,51.997701092782705,300,0-0-0
1,AgentP,P_2,2023-05-01 00:00:23,4.356550142366685,51.996416163037686,50,0-0-0
2,AgentC,C_2,2023-05-01 00:01:32,4.3530496140647505,52.013077609082096,150,0-0-0
3,AgentS,S_1,2023-05-01 00:02:41,4.3530496140647505,52.013077609082096,250,0-0-0
4,AgentC,C_1,2023-05-01 00:03:27,4.3530496140647505,52.013077609082096,150,0-0-0
5,AgentJ,J_1,2023-05-01 00:03:27,4.366390654673757,51.99464126281873,240,0-0-0
6,AgentS,S_2,2023-05-01 00:03:27,4.3530496140647505,52.013077609082096,250,0-0-0
7,AgentB,B_1,2023-05-01 00:03:50,4.330403173897175,51.991213434504516,80,0-0-0
8,AgentC,C_2,2023-05-01 00:03:50,4.3530496140647505,52.013077609082096,150,0-0-0
9,AgentB,B_2,2023-05-01 00:04:13,4.330403173897175,51.991213434504516,80,0-0-0
10,AgentH,H_1,2023-05-01 00:04:13,4.356195988642664,52.02068273213007,120,0-0-0
11,AgentI,I_1,2023-05-01 00:04:13,4.356195988642664,52.02068273213007,120,0-0-0
12,AgentB,B_1,2023-05-01 00:04:36,4.330403173897175,51.991213434504516,80,0-0-0
13,AgentM,M_1,2023-05-01 00:04:36,4.3381867139841965,51.997701092782705,300,0-0-0
14,AgentQ,Q_1,2023-05-01 00:04:36,4.331826600915831,52.00559032961253,130,0-0-0
15,AgentD,D_2,2023-05-01 00:05:22,4.356550142366685,51.996416163037686,300,0-0-0
16,AgentM,M_1,2023-05-01 00:05:45,4.3381867139841965,51.997701092782705,300,0-0-0
17,AgentC,C_2,2023-05-01 00:06:08,4.3530496140647505,52.013077609082096,150,0-0-0
18,AgentF,F_2,2023-05-01 00:06:08,4.343948528788537,52.018561346495936,260,0-0-0
19,AgentK,K_1,2023-05-01 00:06:54,4.367075846877175,51.98436404193879,250,0-0-0
20,AgentN,N_2,2023-05-01 00:06:54,4.354546234187175,51.98921655191236,120,0-0-0
21,AgentM,M_1,2023-05-01 00:07:17,4.3381867139841965,51.997701092782705,300,0-0-0
22,AgentP,P_2,2023-05-01 00:07:17,4.356550142366685,51.996416163037686,50,0-0-0
23,AgentQ,Q_1,2023-05-01 00:07:17,4.331826600915831,52.00559032961253,130,0-0-0
24,AgentK,K_1,2023-05-01 00:07:40,4.367075846877175,51.98436404193879,250,0-0-0
25,AgentC,C_2,2023-05-01 00:08:03,4.3530496140647505,52.013077609082096,150,0-0-0
26,AgentR,R_2,2023-05-01 00:08:03,4.356550142366685,51.996416163037686,300,0-0-0
27,AgentH,H_1,2023-05-01 00:09:12,4.356195988642664,52.02068273213007,120,0-0-0
