"(484089.8264646924, 6802370.62933042)","(486994.98687566986, 6801600.280082232)","(484335.1227769452, 6801230.658056282)","(485870.32606018544, 6800602.398438702)","(482839.9423540146, 6800721.272667667)"
"(484063.9367455737, 6802358.341768312)","(486985.8171718691, 6801581.464092893)","(484359.93207715324, 6801234.021418659)","(485817.15559855575, 6800513.205020158)","(482829.3163770404, 6800740.973408178)"
"(484089.8264646924, 6802370.62933042)","(486994.98687566986, 6801600.280082232)","(484449.54210260365, 6801153.776211319)","(485801.17822913197, 6800422.913423151)","(482839.9423540146, 6800721.272667667)"
"(484215.06058611243, 6802434.540030421)","(486985.8171718691, 6801581.464092893)","(484565.9264423317, 6801226.089968641)","(485695.02800688095, 6800442.260134875)","(482787.225980044, 6800801.644370148)"
"(484335.90339783614, 6802523.819248929)","(486985.8171718691, 6801581.464092893)","(484689.03340389626, 6801310.760323291)","(485629.1141677602, 6800567.023957962)","(482723.0202183964, 6800920.010504553)"
"(484441.02658184466, 6802511.713388419)","(486994.98687566986, 6801600.280082232)","(484800.4480063874, 6801357.156991588)","(485503.69232240407, 6800542.280636055)","(482752.74827876023, 6801025.256555181)"
"(484528.6219289581, 6802400.499446132)","(486985.8171718691, 6801581.464092893)","(484909.2323155064, 6801355.23703595)","(485435.72423705924, 6800674.925124272)","(482875.1633693233, 6801115.125749391)"
"(484618.2580558521, 6802321.11061417)","(486994.98687566986, 6801600.280082232)","(485038.2203243707, 6801421.038066987)","(485353.9142929732, 6800799.760244536)","(482932.3036067787, 6801219.875986221)"
"(484741.82091742015, 6802405.953542164)","(486907.55699209985, 6801644.786101527)","(485151.0875223822, 6801450.032848713)","(485244.96346285474, 6800800.932689714)","(482863.379999045, 6801352.092970079)"
"(484883.52710483875, 6802455.654155719)","(486783.04913861724, 6801565.658465334)","(485275.65317305236, 6801503.59888715)","(485153.8113572031, 6800858.603253765)","(482790.44030139566, 6801485.290654753)"
"(484994.8189977166, 6802430.8911970295)","(486662.98208621354, 6801500.338090332)","(485368.9850100108, 6801439.182897259)","(485036.0657977569, 6800773.929988891)","(482800.9538418017, 6801606.497977018)"
"(485116.46981448797, 6802478.878447048)","(486605.32767022465, 6801378.022899863)","(485445.6049993161, 6801379.222658893)","(484917.87063032534, 6800682.887000933)","(482839.2432473222, 6801719.450682857)"
"(485241.7563411004, 6802556.991462601)","(486512.21885264467, 6801262.99774654)","(485568.4685209975, 6801379.495293578)","(484798.97073615494, 6800593.150841299)","(482810.3062631625, 6801839.933408286)"
"(485371.0906689783, 6802482.523758809)","(486417.89473211765, 6801148.9630809)","(485706.94375449006, 6801349.210673866)","(484672.94694652944, 6800520.6995012555)","(482837.9770671681, 6801955.189616227)"
"(485507.56942469766, 6802424.064741414)","(486312.76766271645, 6801046.9407950025)","(485810.3440980687, 6801296.733890658)","(484556.47256662697, 6800476.683675925)","(482803.9742060746, 6802079.184899005)"
"(485641.0222941519, 6802365.6761051845)","(486235.2145598796, 6800920.933416843)","(485901.8288586037, 6801218.63234637)","(484432.4068303616, 6800393.807877359)","(482736.3485993794, 6802213.12198291)"
"(485777.7892140393, 6802303.49618574)","(486157.4799896847, 6800794.988465243)","(486013.6994097328, 6801223.46411422)","(484296.1204193669, 6800333.699971188)","(482672.98973463505, 6802350.36435344)"
"(485911.91708173824, 6802236.062483585)","(486107.3203737023, 6800655.896392995)","(486137.75642811315, 6801251.215444582)","(484155.8776578916, 6800322.432030224)","(482621.6896141636, 6802493.297349951)"
"(486041.23214013485, 6802159.713900841)","(486046.56563841726, 6800566.745367939)","(486262.6674770043, 6801285.64252719)","(484075.2992711439, 6800401.36138999)","(482713.48132034147, 6802596.079100071)"
"(486182.91386793193, 6802112.221951497)","(485928.3328373969, 6800546.622931799)","(486399.1382066962, 6801346.667226084)","(484139.252643101, 6800400.0076801665)","(482799.144443683, 6802695.482555048)"
